PLOT,TREE,SPECIES,X,Y,CAN,DBH90,DBH03
A,1,ACRU,3.18,4.15,2,32.4,32.70
A,2,ACRU,2.84,4.58,2,41.3,42.50
A,4,BEPA,6.65,6.33,2,31.0,31.90
A,5,ACRU,6.83,8.41,2,30.4,32.00
A,6,PIST,5.41,8.98,4,9.4,9.20
A,7,BEPA,9.30,8.40,2,34.6,38.40
A,8,ACRU,11.70,1.12,3,13.1,14.00
A,9,ACRU,11.72,0.92,3,12.9,13.50
A,10,QURU,14.56,6.74,1,28.5,33.70
A,11,ACRU,18.77,7.91,4,5.5,6.70
A,12,BELE,17.51,4.81,4,5.2,6.80
A,13,PIST,17.71,3.12,4,5.5,5.50
A,14,ACRU,18.09,1.36,2,29.2,31.70
A,15,ACRU,20.50,2.91,2,32.5,33.10
A,16,QURU,21.14,3.69,2,27.3,31.00
A,18,QURU,22.11,5.78,2,44.4,47.90
A,19,BELE,25.12,7.45,3,17.8,19.80
A,21,PIST,26.43,4.49,4,7.0,9.20
A,23,BELE,24.52,0.76,2,14.9,15.80
A,24,BELE,28.30,1.24,2,9.7,12.30
A,26,ACRU,36.20,0.46,4,7.7,7.90
A,28,FRAM,34.38,7.04,3,5.8,6.40
A,29,FRAM,40.20,2.98,4,6.1,7.00
A,30,ACRU,44.44,9.69,4,7.2,8.20
A,31,ACRU,45.14,7.89,4,5.5,5.70
A,32,OSVI,3.43,10.80,4,5.8,7.30
A,33,PIST,4.42,11.09,4,12.4,13.70
A,34,FRAM,3.79,13.11,2,23.8,25.10
A,35,BEPA,7.75,17.02,2,32.6,33.60
A,36,QURU,9.43,10.22,2,24.0,26.70
A,37,ACRU,8.67,17.99,2,32.5,33.70
A,38,ACRU,11.15,17.10,2,20.0,21.40
A,39,CAGL,13.86,13.79,2,26.6,27.80
A,40,ACRU,15.39,12.97,4,7.7,8.10
A,43,QURU,16.73,11.53,2,45.2,51.50
A,44,QURU,19.81,19.64,2,55.2,60.10
A,46,ACRU,20.99,15.53,2,33.2,34.50
A,47,ACRU,21.29,14.35,4,14.1,13.90
A,48,QURU,23.63,10.87,2,39.7,46.50
A,49,FRAM,23.61,12.64,4,7.1,7.00
A,50,QURU,25.26,10.99,2,44.6,49.40
A,54,QURU,29.77,18.94,2,54.0,59.00
A,55,ACRU,34.27,17.38,3,14.2,14.60
A,57,CAOV,35.74,18.10,4,6.0,6.20
A,58,CAOV,34.65,12.78,4,8.4,9.50
A,59,ACRU,37.63,15.18,2,23.6,24.60
A,60,ACRU,38.07,15.82,3,21.7,23.20
A,61,CAOV,39.21,17.43,2,34.3,35.90
A,62,BELE,39.94,11.46,4,10.3,14.50
A,63,ACRU,0.22,20.09,2,38.7,43.20
A,64,BELE,2.64,22.69,4,6.2,8.60
A,65,BELE,6.06,20.43,4,5.5,7.00
A,66,BELE,0.13,26.65,4,6.7,9.30
A,67,ACRU,5.59,28.25,2,32.8,33.70
A,70,ACRU,10.40,23.41,4,9.9,10.10
A,71,ACRU,10.16,23.29,2,22.4,22.50
A,72,ACRU,11.40,21.81,4,6.7,7.00
A,74,QURU,15.75,23.60,2,32.2,36.30
A,76,FRAM,15.55,21.08,2,32.5,34.90
A,77,FRAM,20.95,25.76,2,23.0,23.00
A,78,ACRU,22.90,26.61,2,26.2,31.30
A,79,ACRU,22.85,26.30,3,17.8,19.50
A,80,ACRU,23.04,26.05,4,11.2,12.70
A,81,CADE,24.24,22.77,4,7.5,6.90
A,82,CAOV,25.92,25.79,2,19.3,19.60
A,83,CAGL,27.17,21.23,2,31.3,32.30
A,85,ACRU,47.39,5.83,3,18.4,18.60
A,86,ACRU,47.08,3.03,2,23.5,25.40
A,88,QURU,44.23,1.85,1,37.7,45.20
A,89,BELE,41.88,12.09,4,5.2,7.10
A,90,QURU,42.13,15.77,3,20.8,19.50
A,91,QURU,42.00,16.46,2,30.3,35.80
A,92,ACSA,45.35,14.44,4,13.9,14.60
A,93,QURU,45.65,11.95,2,58.2,61.80
A,94,ACRU,47.93,11.81,4,6.9,7.70
A,95,ACRU,48.76,12.54,4,6.1,7.70
A,96,CAOV,48.45,18.30,4,12.1,12.40
A,97,ACRU,49.61,19.21,4,7.1,8.10
A,98,ACRU,49.06,19.70,4,7.1,11.30
A,100,ACRU,30.69,26.73,4,10.9,12.00
A,102,ACRU,38.10,21.62,4,10.5,10.50
A,103,CADE,36.95,22.48,4,5.0,9.70
A,104,BEPA,35.99,23.64,2,18.6,20.20
A,105,CAGL,33.26,24.02,2,14.0,14.80
A,106,BELE,32.73,26.78,4,8.6,10.30
A,110,ACRU,40.69,28.51,3,8.4,9.10
A,112,QURU,42.07,26.59,1,29.1,32.50
A,113,BEPA,45.61,29.03,2,20.3,22.20
A,114,ACSA,47.36,28.31,4,7.5,7.90
A,117,ACRU,43.81,24.32,4,6.8,9.70
A,120,CAOV,41.86,22.30,4,11.0,11.40
A,121,ACRU,40.32,23.35,3,10.3,10.70
A,123,QURU,46.05,22.94,1,31.6,37.00
A,126,BELE,0.21,33.91,4,6.1,7.50
A,127,ACRU,0.68,39.00,2,15.6,16.50
A,129,CAOV,4.11,34.12,2,22.4,23.00
A,130,BELE,3.67,32.65,4,7.8,8.30
A,131,QURU,2.67,30.04,2,61.2,66.00
A,132,ACRU,5.53,31.36,2,28.2,28.70
A,134,BELE,6.80,34.10,4,7.0,7.40
A,135,BELE,9.03,33.28,4,5.9,7.40
A,136,BELE,10.99,34.29,4,7.6,8.80
A,137,QURU,10.50,35.39,1,53.3,60.40
A,140,ACRU,14.92,34.24,3,13.7,15.00
A,141,ACRU,14.54,34.27,3,12.4,11.30
A,142,ACRU,14.32,34.23,3,12.3,12.60
A,143,ACRU,14.11,33.67,3,12.5,13.00
A,145,BELE,9.81,35.66,4,6.3,7.80
A,146,ACRU,18.80,39.85,4,5.4,6.70
A,147,BEPA,18.94,29.96,2,30.9,31.40
A,148,QURU,19.91,34.42,3,14.1,14.80
A,151,ACRU,26.67,36.85,3,12.7,15.70
A,155,ACRU,22.86,38.09,4,6.5,8.50
A,158,QURU,28.07,31.07,3,15.1,15.70
A,159,ACRU,29.36,33.65,4,5.8,5.80
A,160,BEPA,30.20,32.72,2,17.6,18.00
A,161,ACRU,31.05,32.11,2,13.0,14.90
A,162,CAOV,31.29,32.90,4,8.5,8.50
A,163,BEPA,31.18,30.22,2,28.1,31.50
A,164,ACRU,33.35,30.77,3,11.6,13.20
A,165,ACRU,33.64,31.47,3,13.5,15.50
A,167,BEPA,31.07,35.99,2,29.5,33.60
A,168,BEPA,30.15,39.96,2,20.8,21.60
A,169,ACRU,33.62,39.33,2,13.9,16.40
A,170,ACRU,33.10,38.11,2,20.9,24.20
A,171,ACRU,32.98,37.80,4,8.0,8.50
A,173,BEPA,38.87,38.10,3,15.4,15.40
A,174,QURU,41.59,31.56,1,37.0,43.60
A,175,ACRU,42.13,33.00,4,10.9,13.40
A,176,ACRU,41.29,37.88,4,6.0,8.00
A,178,ACRU,44.46,33.08,4,6.3,7.50
A,179,ACRU,44.48,30.10,3,12.3,13.60
A,182,ACRU,46.17,37.30,3,11.9,12.50
A,185,QURU,49.32,39.86,1,34.2,40.10
A,186,QURU,0.63,44.21,2,65.1,73.80
A,187,ACRU,0.56,46.75,4,14.6,15.30
A,188,OSVI,1.21,40.40,4,5.6,6.30
A,189,ACRU,4.90,41.54,3,14.8,15.70
A,190,BEPA,4.49,45.37,3,20.7,21.50
A,191,PIST,6.90,44.32,2,24.9,27.30
A,194,QURU,9.10,48.88,2,37.4,44.80
A,196,QURU,10.04,45.22,3,19.6,20.50
A,198,ACRU,10.70,41.90,3,15.8,16.50
A,202,PIRE,15.56,42.89,1,30.5,33.30
A,203,QURU,13.03,45.60,2,20.9,23.00
A,204,FRAM,13.66,47.01,4,8.0,8.10
A,205,ACRU,14.10,47.44,4,5.0,5.90
A,207,QURU,19.47,40.46,2,21.9,24.80
A,209,ACRU,22.40,45.99,4,7.4,10.20
A,210,BEPA,20.73,42.61,2,29.5,33.10
A,211,BELE,20.73,43.21,4,6.5,7.50
A,212,QURU,23.23,46.15,2,35.7,42.40
A,213,ACRU,23.06,48.42,4,11.4,13.00
A,215,ACRU,27.04,45.16,3,13.7,15.40
A,218,QURU,24.99,41.08,2,40.8,47.30
A,219,BELE,29.33,48.09,4,9.3,9.90
A,224,ACRU,35.58,45.39,3,13.4,15.20
A,225,ACSA,35.94,46.22,4,5.6,6.10
A,226,QURU,34.78,47.03,2,36.1,44.00
A,227,ACRU,36.35,50.11,3,10.1,10.30
A,228,QURU,37.92,49.04,2,28.6,30.40
A,229,QURU,38.08,45.41,2,22.5,23.10
A,230,ACRU,37.26,43.88,3,13.3,15.00
A,231,QURU,42.66,41.49,1,45.0,52.00
A,232,ACRU,43.12,43.45,3,11.8,13.70
A,233,ACRU,42.72,44.06,4,6.9,7.10
A,234,QURU,43.60,49.79,2,40.5,47.30
A,235,ACRU,46.65,48.75,3,10.1,11.50
A,237,BEPA,47.35,47.21,2,29.4,31.20
A,238,FRAM,44.65,45.67,2,22.0,22.30
A,240,ACRU,48.05,41.80,3,9.7,9.60
A,241,ACRU,48.36,41.32,4,9.6,9.70
,,,,,,,
,,,,,,,
